Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
168,0.636,5.665,0.0,4.1935
169,0.638,5.575,0.0,4.1261
170,0.64,5.485,0.0,4.0597
171,0.642,5.365,0.0,3.9708
172,0.644,5.27,0.0,3.9005
173,0.646,5.215,0.0,3.8604
174,0.648,5.174,0.0,3.8301
175,0.65,5.155,0.0,3.8155
176,0.652,5.136,0.0,3.8018
177,0.654,5.057,0.0,3.7432
178,0.656,4.983,0.0,3.6885
179,0.658,4.93,0.0,3.6494
180,0.66,4.895,0.0,3.623
181,0.662,4.856,0.0,3.5947
182,0.664,4.791,0.0,3.5459
183,0.666,4.757,0.0,3.5215
184,0.668,4.753,0.0,3.5185
185,0.67,4.782,0.0,3.54
186,0.672,4.812,0.0,3.5615
187,0.674,4.822,0.0,3.5693
188,0.676,4.872,0.0,3.6064
189,0.678,4.936,0.0,3.6533
190,0.68,5.006,0.0,3.7051
191,0.682,5.107,0.0,3.7803
192,0.684,5.177,0.0,3.8321
193,0.686,5.294,0.0,3.918
194,0.688,5.592,0.0,4.1388
195,0.69,5.989,0.0,4.4328
196,0.692,6.614,0.0,4.8959
197,0.694,7.63,0.0,5.648
198,0.696,8.813,0.0,6.5232
199,0.698,9.95,0.0,7.3643
200,0.7,11.31,0.0,8.3714
201,0.702,12.877,0.0,9.5309
202,0.704,14.511,0.0,10.7402
203,0.706,16.23,0.0,12.013
204,0.708,18.082,0.0,13.3835
205,0.71,19.917,0.0,14.7423
206,0.712,21.815,0.0,16.1469
207,0.714,23.842,0.0,17.6473
208,0.716,25.85,0.0,19.1331
209,0.718,27.913,0.0,20.6608
210,0.72,30.123,0.0,22.296
211,0.722,32.124,0.0,23.7769
212,0.724,33.981,0.0,25.1513
213,0.726,36.068,0.0,26.6966
214,0.728,37.832,0.0,28.0017
215,0.73,39.395,0.0,29.1592
216,0.732,41.085,0.0,30.4096
217,0.734,42.611,0.0,31.5398
218,0.736,43.94,0.0,32.5234
219,0.738,45.179,0.0,33.4407
220,0.74,46.328,0.0,34.2905
221,0.742,47.254,0.0,34.9762
222,0.744,48.163,0.0,35.6493
223,0.746,48.987,0.0,36.2588
224,0.748,49.606,0.0,36.7169
225,0.75,50.184,0.0,37.1448
226,0.752,50.671,0.0,37.5052
227,0.754,51.056,0.0,37.7905
