Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
160,0.528,9.5514,0.0,15.1904
161,0.529,9.7327,0.0,15.7074
162,0.53,9.9074,0.0,16.1952
163,0.531,10.0742,0.0,16.6549
164,0.532,10.2269,0.0,17.0757
165,0.533,10.3633,0.0,17.4526
166,0.534,10.4903,0.0,17.7966
167,0.535,10.6053,0.0,18.1054
168,0.536,10.7058,0.0,18.3751
169,0.537,10.7915,0.0,18.6084
170,0.538,10.8672,0.0,18.8138
171,0.539,10.9318,0.0,18.9895
172,0.54,10.9832,0.0,19.1337
173,0.541,11.0262,0.0,19.257
174,0.542,11.0661,0.0,19.3679
175,0.543,11.1019,0.0,19.4643
176,0.544,11.1342,0.0,19.5512
177,0.545,11.1674,0.0,19.6378
178,0.546,11.1983,0.0,19.7204
179,0.547,11.229,0.0,19.8009
180,0.548,11.26,0.0,19.8806
181,0.549,11.2904,0.0,19.9598
182,0.55,11.3175,0.0,20.0321
183,0.551,11.3408,0.0,20.0975
184,0.552,11.3599,0.0,20.1541
185,0.553,11.3722,0.0,20.1953
186,0.554,11.377,0.0,20.219
187,0.555,11.3754,0.0,20.2269
188,0.556,11.3643,0.0,20.2111
189,0.557,11.3405,0.0,20.1647
190,0.558,11.3078,0.0,20.0951
191,0.559,11.2644,0.0,19.9978
192,0.56,11.2066,0.0,19.867
193,0.561,11.1393,0.0,19.7096
194,0.562,11.0626,0.0,19.5271
195,0.563,10.9761,0.0,19.3203
196,0.564,10.8793,0.0,19.0873
197,0.565,10.7724,0.0,18.8298
198,0.566,10.6582,0.0,18.5521
199,0.567,10.537,0.0,18.2535
200,0.568,10.4097,0.0,17.9355
201,0.569,10.2768,0.0,17.6009
202,0.57,10.1384,0.0,17.2494
203,0.571,9.9989,0.0,16.8902
204,0.572,9.858,0.0,16.523
205,0.573,9.7161,0.0,16.1501
206,0.574,9.5768,0.0,15.7807
207,0.575,9.4434,0.0,15.4208
208,0.576,9.3164,0.0,15.0738
209,0.577,9.1963,0.0,14.7426
210,0.578,9.0824,0.0,14.4278
211,0.579,8.9728,0.0,14.126
212,0.58,8.8704,0.0,13.8409
213,0.581,8.7784,0.0,13.5776
214,0.582,8.6901,0.0,13.3271
215,0.583,8.6059,0.0,13.0908
216,0.584,8.5282,0.0,12.8711
217,0.585,8.4555,0.0,12.6641
218,0.586,8.3856,0.0,12.4656
219,0.587,8.3202,0.0,12.2804
220,0.588,8.2573,0.0,12.1046
221,0.589,8.2018,0.0,11.945
222,0.59,8.1537,0.0,11.8035
223,0.591,8.1108,0.0,11.6769
224,0.592,8.0712,0.0,11.5612
225,0.593,8.0342,0.0,11.4534
226,0.594,8.002,0.0,11.3581
227,0.595,7.9758,0.0,11.2771
228,0.596,7.9488,0.0,11.1993
229,0.597,7.9229,0.0,11.1264
230,0.598,7.8984,0.0,11.0572
231,0.599,7.8735,0.0,10.9877
232,0.6,7.848,0.0,10.917
233,0.601,7.8216,0.0,10.8433
234,0.602,7.7935,0.0,10.765
235,0.603,7.7676,0.0,10.6879
236,0.604,7.7406,0.0,10.6064
237,0.605,7.7118,0.0,10.5194
238,0.606,7.681,0.0,10.425
239,0.607,7.6468,0.0,10.3209
240,0.608,7.6101,0.0,10.2081
241,0.609,7.5727,0.0,10.0897
242,0.61,7.5345,0.0,9.9662
243,0.611,7.4906,0.0,9.8311
244,0.612,7.4454,0.0,9.6903
245,0.613,7.4015,0.0,9.5479
246,0.614,7.3546,0.0,9.3985
247,0.615,7.3061,0.0,9.2453
248,0.616,7.2577,0.0,9.0923
249,0.617,7.2122,0.0,8.9452
250,0.618,7.167,0.0,8.8002
251,0.619,7.1239,0.0,8.6609
252,0.62,7.0819,0.0,8.5271
