Id,wavelength,reflectance,direct_transmittance,diffuse_transmittance
177,0.526,4.47,0.0,3.621
178,0.527,4.551,0.0,4.233
179,0.528,4.614,0.0,4.359
180,0.529,4.677,0.0,3.933
181,0.53,4.769,0.0,4.001
182,0.531,4.852,0.0,4.105
183,0.532,4.913,0.0,4.255
184,0.533,4.956,0.0,4.41
185,0.534,5.036,0.0,4.417
186,0.535,5.104,0.0,4.409
187,0.536,5.128,0.0,5.108
188,0.537,5.153,0.0,5.212
189,0.538,5.179,0.0,4.61
190,0.539,5.209,0.0,5.274
191,0.54,5.251,0.0,5.336
192,0.541,5.291,0.0,4.728
193,0.542,5.321,0.0,5.46
194,0.543,5.33,0.0,5.513
195,0.544,5.36,0.0,5.537
196,0.545,5.398,0.0,4.859
197,0.546,5.42,0.0,4.894
198,0.547,5.44,0.0,5.64
199,0.548,5.461,0.0,5.701
200,0.549,5.481,0.0,5.773
201,0.55,5.493,0.0,5.043
202,0.551,5.497,0.0,5.756
203,0.552,5.495,0.0,5.193
204,0.553,5.491,0.0,5.194
205,0.554,5.488,0.0,5.209
206,0.555,5.487,0.0,5.232
207,0.556,5.469,0.0,5.074
208,0.557,5.443,0.0,5.055
209,0.558,5.408,0.0,5.104
210,0.559,5.357,0.0,4.98
211,0.56,5.321,0.0,4.936
212,0.561,5.282,0.0,4.888
213,0.562,5.214,0.0,5.518
214,0.563,5.157,0.0,5.442
215,0.564,5.099,0.0,5.349
216,0.565,5.03,0.0,5.237
217,0.566,4.98,0.0,5.17
218,0.567,4.918,0.0,5.083
219,0.568,4.834,0.0,4.948
220,0.569,4.742,0.0,4.23
221,0.57,4.675,0.0,4.15
222,0.571,4.627,0.0,4.663
223,0.572,4.552,0.0,4.576
224,0.573,4.484,0.0,4.489
225,0.574,4.425,0.0,4.387
226,0.575,4.369,0.0,3.744
227,0.576,4.315,0.0,3.641
228,0.577,4.262,0.0,3.578
229,0.578,4.209,0.0,3.567
230,0.579,4.185,0.0,4.007
231,0.58,4.152,0.0,3.916
232,0.581,4.095,0.0,3.834
233,0.582,4.06,0.0,3.301
234,0.583,4.036,0.0,3.277
235,0.584,4.012,0.0,3.752
236,0.585,3.974,0.0,3.768
237,0.586,3.946,0.0,3.253
238,0.587,3.927,0.0,3.63
239,0.588,3.902,0.0,3.173
240,0.589,3.895,0.0,3.149
241,0.59,3.888,0.0,3.127
242,0.591,3.86,0.0,3.149
243,0.592,3.845,0.0,3.104
244,0.593,3.841,0.0,3.064
245,0.594,3.837,0.0,3.535
246,0.595,3.818,0.0,3.092
247,0.596,3.808,0.0,3.068
248,0.597,3.811,0.0,3.473
249,0.598,3.784,0.0,3.06
250,0.599,3.778,0.0,3.083
251,0.6,3.786,0.0,3.004
252,0.601,3.767,0.0,2.998
253,0.602,3.741,0.0,3.025
254,0.603,3.723,0.0,3.056
255,0.604,3.722,0.0,3.032
256,0.605,3.693,0.0,2.982
257,0.606,3.67,0.0,2.954
258,0.607,3.673,0.0,3.429
259,0.608,3.656,0.0,3.029
260,0.609,3.635,0.0,3.005
261,0.61,3.618,0.0,2.939
262,0.611,3.606,0.0,3.347
263,0.612,3.599,0.0,3.28
264,0.613,3.588,0.0,3.641
265,0.614,3.558,0.0,2.812
266,0.615,3.538,0.0,3.148
