wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.56;8.4464659;0.0;18.5428337
0.561;8.3543056;0.0;18.3716835
0.562;8.2550011;0.0;18.1749005
0.563;8.1423426;0.0;17.9610242
0.564;8.0289273;0.0;17.7250499
0.565;7.9090301;0.0;17.4651999
0.566;7.7659323;0.0;17.1812254
0.567;7.6299116;0.0;16.8902952
0.568;7.4918577;0.0;16.583513
0.569;7.3374654;0.0;16.2505631
0.57;7.1952137;0.0;15.9238357
0.571;7.0570003;0.0;15.597749
0.572;6.9168117;0.0;15.2679933
0.573;6.7856744;0.0;14.9442589
0.574;6.6597142;0.0;14.6338443
0.575;6.5382108;0.0;14.3378662
0.576;6.4233244;0.0;14.0473111
0.577;6.3222173;0.0;13.7781682
0.578;6.2312147;0.0;13.5288923
0.579;6.1410514;0.0;13.2890729
0.58;6.0639174;0.0;13.0649949
0.581;5.9918647;0.0;12.8515853
0.582;5.9160947;0.0;12.6431265
0.583;5.8498477;0.0;12.4460183
0.584;5.7876659;0.0;12.2587732
0.585;5.7262677;0.0;12.0802885
0.586;5.6706765;0.0;11.9130022
0.587;5.6208263;0.0;11.7530499
0.588;5.5759148;0.0;11.6003406
0.589;5.534524;0.0;11.4594588
0.59;5.4928637;0.0;11.326417
0.591;5.4547731;0.0;11.2031289
0.592;5.4265744;0.0;11.0930412
0.593;5.3986563;0.0;10.9908613
0.594;5.3709682;0.0;10.8969998
0.595;5.3454992;0.0;10.8130766
0.596;5.3251652;0.0;10.7425867
0.597;5.3041844;0.0;10.6719531
0.598;5.281028;0.0;10.5956104
0.599;5.2637893;0.0;10.525017
0.6;5.2476627;0.0;10.4580619
0.601;5.2323439;0.0;10.3918068
0.602;5.2212831;0.0;10.3219481
0.603;5.1977437;0.0;10.2409219
0.604;5.1669112;0.0;10.1498707
0.605;5.1416661;0.0;10.0538659
0.606;5.1176926;0.0;9.9554781
0.607;5.0908441;0.0;9.8516219
0.608;5.0590371;0.0;9.7391928
0.609;5.0281649;0.0;9.6189358
0.61;4.9985463;0.0;9.4917327
0.611;4.9688905;0.0;9.3604656
0.612;4.9350743;0.0;9.2320562
0.613;4.8977542;0.0;9.0991174
0.614;4.8633546;0.0;8.9664326
0.615;4.8430256;0.0;8.847323
0.616;4.819985;0.0;8.7309076
0.617;4.7921758;0.0;8.6131927
0.618;4.7630403;0.0;8.4943428
0.619;4.7424278;0.0;8.3905932
0.62;4.7240217;0.0;8.2948988
0.621;4.7027152;0.0;8.202266
0.622;4.6813701;0.0;8.1216284
0.623;4.6694813;0.0;8.0545657
0.624;4.6675616;0.0;7.9994058
0.625;4.6648398;0.0;7.9493038
0.626;4.6553789;0.0;7.9115935
0.627;4.6460955;0.0;7.8850375
0.628;4.6502798;0.0;7.8641022
0.629;4.6522205;0.0;7.8463036
0.63;4.6499142;0.0;7.8278281
0.631;4.6444097;0.0;7.8039126
0.632;4.636344;0.0;7.7657291
0.633;4.6264901;0.0;7.7170576
0.634;4.6141163;0.0;7.6555301
0.635;4.5948325;0.0;7.5639038
0.636;4.5728847;0.0;7.4419135
0.637;4.5494484;0.0;7.2919291
0.638;4.5232065;0.0;7.1196239
0.639;4.4916564;0.0;6.9208696
0.64;4.4603084;0.0;6.7029967
0.641;4.4362362;0.0;6.4770527
0.642;4.403949;0.0;6.2394489
0.643;4.3690622;0.0;6.0001927
0.644;4.3391589;0.0;5.7680175
0.645;4.3164536;0.0;5.5399913
0.646;4.2902803;0.0;5.3192206
0.647;4.2610494;0.0;5.113136
0.648;4.2511695;0.0;4.9390171
0.649;4.2403911;0.0;4.7844501
0.65;4.2286087;0.0;4.6502157
0.651;4.2282565;0.0;4.5452196
0.652;4.2299671;0.0;4.4583732
0.653;4.2318495;0.0;4.3839089
0.654;4.2341173;0.0;4.3173856
0.655;4.2376715;0.0;4.2562319
0.656;4.240904;0.0;4.1881475
0.657;4.2442535;0.0;4.1067901
0.658;4.2564375;0.0;4.0252235
0.659;4.2620825;0.0;3.9321649
0.66;4.2594631;0.0;3.8239726
0.661;4.2635725;0.0;3.7054412
0.662;4.274655;0.0;3.5861767
0.663;4.2887522;0.0;3.4668964
0.664;4.2994104;0.0;3.3442322
0.665;4.3162707;0.0;3.2245709
0.666;4.3376707;0.0;3.1128669
0.667;4.3618145;0.0;3.013366
0.668;4.3989041;0.0;2.9283113
0.669;4.4388648;0.0;2.8555287
0.67;4.4777629;0.0;2.7927912
0.671;4.5250541;0.0;2.7398132
0.672;4.5791816;0.0;2.6983632
0.673;4.6396736;0.0;2.6687929
0.674;4.7057695;0.0;2.6513303
