wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.559;9.3225637;0.0;15.3184064
0.56;9.2447185;0.0;15.2182474
0.561;9.1587609;0.0;15.105064
0.562;9.0667573;0.0;14.9833062
0.563;8.969615;0.0;14.8538474
0.564;8.8651249;0.0;14.7135501
0.565;8.7514336;0.0;14.5589297
0.566;8.626831;0.0;14.3861162
0.567;8.4962718;0.0;14.203626
0.568;8.3615852;0.0;14.0086665
0.569;8.222358;0.0;13.7968986
0.57;8.0669849;0.0;13.5730424
0.571;7.914888;0.0;13.3487784
0.572;7.7767167;0.0;13.1294629
0.573;7.6285042;0.0;12.899058
0.574;7.4829231;0.0;12.671091
0.575;7.347239;0.0;12.4545901
0.576;7.2222188;0.0;12.2532542
0.577;7.1082993;0.0;12.0652924
0.578;7.0035852;0.0;11.8869317
0.579;6.9045403;0.0;11.71298
0.58;6.8116519;0.0;11.5521285
0.581;6.7238325;0.0;11.4012238
0.582;6.6399622;0.0;11.2554876
0.583;6.5603755;0.0;11.1181765
0.584;6.4869572;0.0;10.9884116
0.585;6.4199055;0.0;10.8653212
0.586;6.3549557;0.0;10.7486489
0.587;6.2991662;0.0;10.6426942
0.588;6.2491586;0.0;10.5452913
0.589;6.1898312;0.0;10.4471539
0.59;6.1417874;0.0;10.3619485
0.591;6.1035402;0.0;10.287187
0.592;6.0650392;0.0;10.2142147
0.593;6.029789;0.0;10.1480291
0.594;5.9985975;0.0;10.0899545
0.595;5.9717035;0.0;10.0401716
0.596;5.9485653;0.0;9.9971568
0.597;5.9269812;0.0;9.9565523
0.598;5.9048256;0.0;9.915307
0.599;5.8792943;0.0;9.872279
0.6;5.856285;0.0;9.8320987
0.601;5.8355656;0.0;9.7921211
0.602;5.8117804;0.0;9.7431707
0.603;5.7831977;0.0;9.6864204
0.604;5.7524532;0.0;9.6240165
0.605;5.7230439;0.0;9.5581842
0.606;5.6855482;0.0;9.4829121
0.607;5.6425042;0.0;9.3974148
0.608;5.5974701;0.0;9.3025552
0.609;5.5494646;0.0;9.2003199
0.61;5.5011388;0.0;9.0975962
0.611;5.4544421;0.0;8.9967619
0.612;5.4118042;0.0;8.8931609
0.613;5.358525;0.0;8.7821485
0.614;5.3020731;0.0;8.6695343
0.615;5.2655499;0.0;8.5694382
0.616;5.2290371;0.0;8.4727914
0.617;5.1882027;0.0;8.3759767
0.618;5.1447854;0.0;8.2785881
0.619;5.1126712;0.0;8.1936086
0.62;5.0855598;0.0;8.117523
0.621;5.0569316;0.0;8.0456993
0.622;5.0257361;0.0;7.9750986
0.623;5.0018316;0.0;7.9160235
0.624;4.9875393;0.0;7.8719349
0.625;4.9751296;0.0;7.8374805
0.626;4.9706115;0.0;7.8137885
0.627;4.9668235;0.0;7.7959496
0.628;4.9513504;0.0;7.7765806
0.629;4.9438091;0.0;7.7634767
0.63;4.9392091;0.0;7.7535678
0.631;4.9301938;0.0;7.7418406
0.632;4.9262029;0.0;7.7269789
0.633;4.918042;0.0;7.7023633
0.634;4.901258;0.0;7.6637543
0.635;4.884473;0.0;7.6127822
0.636;4.8569526;0.0;7.5406219
0.637;4.8202738;0.0;7.4478483
0.638;4.7876422;0.0;7.3437546
0.639;4.7451371;0.0;7.2215255
0.64;4.6980811;0.0;7.0852371
0.641;4.6574341;0.0;6.9422157
0.642;4.6120388;0.0;6.7885536
0.643;4.563613;0.0;6.6284805
0.644;4.5154266;0.0;6.4656129
0.645;4.4690875;0.0;6.2971412
0.646;4.4203906;0.0;6.1263786
0.647;4.3710759;0.0;5.9589054
0.648;4.3341194;0.0;5.8041415
0.649;4.3053631;0.0;5.6666285
0.65;4.2821882;0.0;5.5485205
0.651;4.2619713;0.0;5.4497889
0.652;4.2467041;0.0;5.3651809
0.653;4.2345582;0.0;5.2900108
0.654;4.2229696;0.0;5.2195917
0.655;4.2125466;0.0;5.1497168
0.656;4.2019996;0.0;5.0740028
0.657;4.1898328;0.0;4.9863055
0.658;4.1737988;0.0;4.8802652
0.659;4.1582169;0.0;4.7591895
0.66;4.143251;0.0;4.6245028
0.661;4.1232976;0.0;4.4744507
0.662;4.1065758;0.0;4.3225494
0.663;4.0919154;0.0;4.168553
0.664;4.0744817;0.0;4.0065623
0.665;4.0662018;0.0;3.8542904
0.666;4.0646888;0.0;3.7107141
0.667;4.0660805;0.0;3.5736741
0.668;4.0759756;0.0;3.4564518
0.669;4.0874028;0.0;3.3508337
0.67;4.0993408;0.0;3.2529985
0.671;4.1249013;0.0;3.1732041
0.672;4.1530221;0.0;3.1079142
0.673;4.1830466;0.0;3.0569259
0.674;4.2219726;0.0;3.02363
0.675;4.2640973;0.0;3.0002822
0.676;4.3098972;0.0;2.985581
0.677;4.3613024;0.0;2.9807856
0.678;4.4143139;0.0;2.9878337
0.679;4.4741133;0.0;3.0105148
0.68;4.5435769;0.0;3.0529646
0.681;4.6154999;0.0;3.1185795
0.682;4.6864288;0.0;3.2134243
0.683;4.7566771;0.0;3.3455631
0.684;4.8315969;0.0;3.5258517
0.685;4.9101911;0.0;3.7591257
0.686;4.9904729;0.0;4.05176
0.687;5.0701295;0.0;4.4106938
0.688;5.1587092;0.0;4.8450615
0.689;5.2662237;0.0;5.3619569
0.69;5.4026982;0.0;5.966085
0.691;5.5741777;0.0;6.6543893
0.692;5.7957875;0.0;7.4310087
0.693;6.0787093;0.0;8.294595
0.694;6.4262525;0.0;9.2342306
0.695;6.843225;0.0;10.2386091
0.696;7.3306474;0.0;11.297175
0.697;7.8855375;0.0;12.3985407
0.698;8.5076722;0.0;13.5279052
0.699;9.1903425;0.0;14.6767229
0.7;9.9228393;0.0;15.8363782
0.701;10.692976;0.0;16.9893541
0.702;11.4924248;0.0;18.1253228
0.703;12.3135935;0.0;19.2375449
0.704;13.1508721;0.0;20.3275025
0.705;13.9877732;0.0;21.3809049
0.706;14.819256;0.0;22.3949744
0.707;15.6550035;0.0;23.3811724
0.708;16.4821837;0.0;24.3355281
0.709;17.3005323;0.0;25.2589096
0.71;18.1156436;0.0;26.1546911
0.711;18.9287506;0.0;27.0338131
0.712;19.7352495;0.0;27.8905945
0.713;20.5318771;0.0;28.7203184
0.714;21.3253931;0.0;29.53678
0.715;22.1164693;0.0;30.3389615
0.716;22.9038225;0.0;31.1254463
0.717;23.684499;0.0;31.8967343
0.718;24.4583584;0.0;32.6521445
0.719;25.2234246;0.0;33.3922025
0.72;25.9776387;0.0;34.1191849
0.721;26.7213841;0.0;34.8240549
0.722;27.4536633;0.0;35.5105514
0.723;28.1738265;0.0;36.1851832
0.724;28.8737246;0.0;36.8366977
0.725;29.5552084;0.0;37.4651199
0.726;30.2197575;0.0;38.0723691
0.727;30.8639195;0.0;38.6610577
0.728;31.486429;0.0;39.225855
0.729;32.0877943;0.0;39.7664107
0.73;32.6697009;0.0;40.2861536
0.731;33.2241823;0.0;40.7861249
0.732;33.7512916;0.0;41.2602452
0.733;34.2536942;0.0;41.7015952
0.734;34.7338647;0.0;42.1260326
0.735;35.1882311;0.0;42.5287941
0.736;35.6144241;0.0;42.9051597
0.737;36.0185807;0.0;43.260785
0.738;36.3930964;0.0;43.5929804
0.739;36.7377166;0.0;43.9011373
0.74;37.061035;0.0;44.186615
0.741;37.3577866;0.0;44.4513562
0.742;37.6290603;0.0;44.6961844
0.743;37.8777332;0.0;44.920919
0.744;38.09968;0.0;45.1236383
0.745;38.2976353;0.0;45.3065059
0.746;38.4748377;0.0;45.4721794
0.747;38.6327272;0.0;45.6232555
0.748;38.7677701;0.0;45.7547301
0.749;38.8807604;0.0;45.8670751
0.75;38.9795942;0.0;45.9699112
0.751;39.0625758;0.0;46.0583846
0.752;39.132885;0.0;46.1352767
0.753;39.1954642;0.0;46.2066647
0.754;39.2420883;0.0;46.2672077
0.755;39.2804824;0.0;46.3202241
0.756;39.3177045;0.0;46.3688728
0.757;39.3434544;0.0;46.4079659
0.758;39.3639339;0.0;46.4424205
0.759;39.3824457;0.0;46.4748868
0.76;39.3968326;0.0;46.503878
0.761;39.4057918;0.0;46.5300059
0.762;39.4085218;0.0;46.5505214
0.763;39.4048504;0.0;46.5612357
0.764;39.3988876;0.0;46.5725834
0.765;39.3897066;0.0;46.5838993
0.766;39.3756217;0.0;46.5916231
0.767;39.3569613;0.0;46.5916845
0.768;39.3372716;0.0;46.5879672
0.769;39.3186476;0.0;46.5852291
0.77;39.3007189;0.0;46.5908056
0.771;39.2823018;0.0;46.5921736
0.772;39.263047;0.0;46.589411
0.773;39.2433001;0.0;46.5900524
0.774;39.2259878;0.0;46.5907372
0.775;39.2128244;0.0;46.5941387
0.776;39.2029651;0.0;46.6015848
0.777;39.184614;0.0;46.6014177
0.778;39.1708443;0.0;46.6028538
0.779;39.1652773;0.0;46.609423
0.78;39.1502288;0.0;46.6111896
0.781;39.141066;0.0;46.6184968
0.782;39.1387513;0.0;46.6302505
0.783;39.1359913;0.0;46.6385761
0.784;39.1296803;0.0;46.6434025
0.785;39.123745;0.0;46.6496907
0.786;39.1222072;0.0;46.6612109
0.787;39.1199907;0.0;46.6689281
0.788;39.1178672;0.0;46.6786647
0.789;39.1167639;0.0;46.6922643
0.79;39.1174747;0.0;46.7028363
0.791;39.1200925;0.0;46.7165794
0.792;39.1210492;0.0;46.7291987
0.793;39.1153112;0.0;46.7316619
0.794;39.1182993;0.0;46.7444842
0.795;39.1238815;0.0;46.7611341
0.796;39.1242707;0.0;46.772584
0.797;39.125788;0.0;46.7858806
0.798;39.1275711;0.0;46.7978891
0.799;39.1296975;0.0;46.8082677
0.8;39.134481;0.0;46.8218573
0.801;39.1379421;0.0;46.8351457
0.802;39.1398344;0.0;46.8468443
0.803;39.1419168;0.0;46.8569497
0.804;39.1464783;0.0;46.8701671
0.805;39.152539;0.0;46.8865626
0.806;39.1582032;0.0;46.9037168
0.807;39.1611371;0.0;46.9139297
0.808;39.1607942;0.0;46.9220688
0.809;39.1604388;0.0;46.9317339
0.81;39.1691853;0.0;46.9451189
0.811;39.1716022;0.0;46.956645
0.812;39.170706;0.0;46.9664163
0.813;39.1758896;0.0;46.9771473
0.814;39.1799763;0.0;46.9929128
0.815;39.1824292;0.0;47.0065927
0.816;39.1841223;0.0;47.0142681
0.817;39.1876152;0.0;47.0254877
0.818;39.1899113;0.0;47.0377001
0.819;39.1914265;0.0;47.0486122
0.82;39.1959353;0.0;47.0558305
0.821;39.1978373;0.0;47.0656691
0.822;39.1969606;0.0;47.0758229
0.823;39.1956179;0.0;47.082822
0.824;39.2001137;0.0;47.0945129
0.825;39.2038189;0.0;47.1088455
0.826;39.2031931;0.0;47.1216977
0.827;39.2036288;0.0;47.1247524
0.828;39.2039224;0.0;47.1341224
0.829;39.2017676;0.0;47.1446546
0.83;39.1940933;0.0;47.1382919
0.831;39.1857699;0.0;47.1410599
0.832;39.1840028;0.0;47.1507229
0.833;39.191874;0.0;47.1605364
0.834;39.1951135;0.0;47.175348
0.835;39.1888411;0.0;47.1799522
0.836;39.1785901;0.0;47.1754409
0.837;39.1861793;0.0;47.1883488
0.838;39.1844582;0.0;47.1987786
0.839;39.1765048;0.0;47.2057649
0.84;39.1766399;0.0;47.2148731
0.841;39.1766955;0.0;47.2206844
0.842;39.1743476;0.0;47.2249418
0.843;39.1698593;0.0;47.2297648
0.844;39.1684026;0.0;47.2353853
0.845;39.1692014;0.0;47.2435095
0.846;39.1695099;0.0;47.2532569
0.847;39.1647473;0.0;47.2614953
0.848;39.1642255;0.0;47.2737921
0.849;39.1641936;0.0;47.2820324
0.85;39.1593412;0.0;47.2794803
0.851;39.1556385;0.0;47.2857456
0.852;39.1529716;0.0;47.2925657
0.853;39.1506225;0.0;47.295601
0.854;39.1472017;0.0;47.2989805
0.855;39.1457715;0.0;47.3075085
0.856;39.1445564;0.0;47.3187729
0.857;39.1401478;0.0;47.3266979
0.858;39.1381534;0.0;47.3306462
0.859;39.1380577;0.0;47.3338253
0.86;39.1379418;0.0;47.3395401
0.861;39.1349536;0.0;47.3508677
0.862;39.1274312;0.0;47.3541969
0.863;39.1208545;0.0;47.3520851
0.864;39.1267208;0.0;47.3609174
0.865;39.1299248;0.0;47.3728528
0.866;39.1303553;0.0;47.384733
0.867;39.1304571;0.0;47.393669
0.868;39.125741;0.0;47.3934883
0.869;39.1176695;0.0;47.396104
0.87;39.1098006;0.0;47.4034684
0.871;39.1087974;0.0;47.4010912
0.872;39.10842;0.0;47.4091613
0.873;39.1081477;0.0;47.4207086
0.874;39.1088338;0.0;47.4210659
0.875;39.1048036;0.0;47.4290879
0.876;39.0995912;0.0;47.4347995
0.877;39.0971906;0.0;47.4351003
0.878;39.1004501;0.0;47.4513049
0.879;39.1089275;0.0;47.463037
0.88;39.1127693;0.0;47.4652628
0.881;39.0978259;0.0;47.4623941
0.882;39.0897888;0.0;47.4602198
0.883;39.087635;0.0;47.4657291
0.884;39.0861534;0.0;47.4793505
0.885;39.0837451;0.0;47.4797573
0.886;39.087461;0.0;47.4864915
0.887;39.0951927;0.0;47.5000297
0.888;39.0959193;0.0;47.5026125
0.889;39.0915763;0.0;47.512082
0.89;39.0894222;0.0;47.522522
0.891;39.0928572;0.0;47.5239535
0.892;39.0779828;0.0;47.5171393
0.893;39.0642304;0.0;47.5154806
0.894;39.0628647;0.0;47.5247568
0.895;39.072543;0.0;47.5407316
0.896;39.0757957;0.0;47.5382242
0.897;39.070322;0.0;47.5305761
0.898;39.0619659;0.0;47.5418043
0.899;39.0667469;0.0;47.5602495
0.9;39.0707522;0.0;47.5750502
0.901;39.0644436;0.0;47.5781534
0.902;39.0484239;0.0;47.5630991
0.903;39.0494672;0.0;47.5669267
0.904;39.0605103;0.0;47.5844078
0.905;39.059052;0.0;47.591033
0.906;39.0447867;0.0;47.5879442
0.907;39.0394359;0.0;47.5850966
0.908;39.0493606;0.0;47.5879864
0.909;39.0380228;0.0;47.5872946
0.91;39.0313115;0.0;47.6009239
0.911;39.0335142;0.0;47.6193192
0.912;39.0378741;0.0;47.619956
0.913;39.0491269;0.0;47.6341918
0.914;39.0499447;0.0;47.6429639
0.915;39.0330142;0.0;47.6336033
0.916;39.0243924;0.0;47.6300957
0.917;39.0279944;0.0;47.6359941
0.918;39.0381346;0.0;47.649615
0.919;39.0409318;0.0;47.663183
0.92;39.027243;0.0;47.6524693
0.921;39.0107128;0.0;47.6410166
0.922;39.0031022;0.0;47.6470643
0.923;38.9963517;0.0;47.6444669
0.924;38.9900844;0.0;47.6397504
0.925;38.9834981;0.0;47.6395813
0.926;38.9751652;0.0;47.6497684
0.927;38.9523759;0.0;47.6436412
0.928;38.9451606;0.0;47.6404183
0.929;38.9672239;0.0;47.6532197
0.93;38.9526091;0.0;47.6441491
0.931;38.9285804;0.0;47.6309805
0.932;38.9111759;0.0;47.6196181
0.933;38.9073281;0.0;47.6076057
0.934;38.9129325;0.0;47.6188448
0.935;38.9111923;0.0;47.6350026
0.936;38.8922578;0.0;47.6347216
0.937;38.8759232;0.0;47.616254
0.938;38.866449;0.0;47.6022569
0.939;38.8564086;0.0;47.5937971
0.94;38.8297283;0.0;47.5752818
0.941;38.8055225;0.0;47.5691311
0.942;38.7822743;0.0;47.5672106
