wavelength;reflectance;direct_transmittance;diffuse_transmittance
0.559;9.67256475;0.0;13.35893445
0.56;9.5820683;0.0;13.26566145
0.561;9.4795923;0.0;13.15912105
0.562;9.36591015;0.0;13.0396912
0.563;9.2467699;0.0;12.90833815
0.564;9.11775825;0.0;12.7665019
0.565;8.9788217;0.0;12.61275155
0.566;8.83219895;0.0;12.4437151
0.567;8.6770474;0.0;12.26304265
0.568;8.5132902;0.0;12.06981115
0.569;8.3420435;0.0;11.8631898
0.57;8.16974545;0.0;11.64954155
0.571;7.99746935;0.0;11.4328528
0.572;7.82622405;0.0;11.21561755
0.573;7.65776065;0.0;10.99558815
0.574;7.49617015;0.0;10.78214165
0.575;7.34431935;0.0;10.57998055
0.576;7.20344465;0.0;10.3876774
0.577;7.07214775;0.0;10.2059367
0.578;6.9499365;0.0;10.0346199
0.579;6.8365379;0.0;9.8729091
0.58;6.7330615;0.0;9.7202811
0.581;6.63575995;0.0;9.57595145
0.582;6.54135415;0.0;9.43915365
0.583;6.4570713;0.0;9.31163825
0.584;6.3766677;0.0;9.18970075
0.585;6.2978272;0.0;9.07192895
0.586;6.23037225;0.0;8.9635387
0.587;6.16747855;0.0;8.862241
0.588;6.1074569;0.0;8.76785845
0.589;6.05379895;0.0;8.6828724
0.59;6.0015665;0.0;8.6020308
0.591;5.95445015;0.0;8.5276917
0.592;5.918819;0.0;8.4648595
0.593;5.8844731;0.0;8.40828295
0.594;5.85323945;0.0;8.35819545
0.595;5.82737335;0.0;8.3145764
0.596;5.80014885;0.0;8.27159735
0.597;5.77635865;0.0;8.232632
0.598;5.7568644;0.0;8.19802225
0.599;5.73316905;0.0;8.1610546
0.6;5.71070105;0.0;8.12410665
0.601;5.6889144;0.0;8.08567175
0.602;5.6625443;0.0;8.04118425
0.603;5.63082125;0.0;7.9895044
0.604;5.59645475;0.0;7.9320958
0.605;5.56287925;0.0;7.870834
0.606;5.52250425;0.0;7.7980197
0.607;5.4777657;0.0;7.716659
0.608;5.43103135;0.0;7.62991955
0.609;5.3768397;0.0;7.53322005
0.61;5.32488945;0.0;7.43597065
0.611;5.2776686;0.0;7.3408175
0.612;5.22403325;0.0;7.2373842
0.613;5.17285995;0.0;7.1345173
