idSimulation,band,num_of_species,species,height_m,abs_mean,abs_sd,pos,scenetype,albedo
1,NIR,1,0,19,0.0,0.0,1,1,0.03249718157321683
1,NIR,1,0,18,0.020450979821014965,0.00490282719004487,1,1,0.03249718157321683
1,NIR,1,0,17,0.12642871850283435,0.009742796586910475,1,1,0.03249718157321683
1,NIR,1,0,16,0.17351637617897145,0.008936367727776997,1,1,0.03249718157321683
1,NIR,1,0,15,0.16911727370447285,0.009429496816403718,1,1,0.03249718157321683
1,NIR,1,0,14,0.1372728279573455,0.007204252633816854,1,1,0.03249718157321683
1,NIR,1,0,13,0.10998033006758332,0.004764092926370812,1,1,0.03249718157321683
1,NIR,1,0,12,0.08119842706367925,0.004429498555913675,1,1,0.03249718157321683
1,NIR,1,0,11,0.06138517034972236,0.003967916958556354,1,1,0.03249718157321683
1,NIR,1,0,10,0.04322337809652186,0.003497215280717906,1,1,0.03249718157321683
1,NIR,1,0,9,0.026766036053919515,0.0020528576278118407,1,1,0.03249718157321683
1,NIR,1,0,8,0.006436084572236458,0.000982419092012527,1,1,0.03249718157321683
1,NIR,1,0,7,0.0014355774833333334,0.00011542600115761185,1,1,0.03249718157321683
1,NIR,1,0,6,0.0016007281499999999,0.00013977551053049982,1,1,0.03249718157321683
1,NIR,1,0,5,0.0017025295166666664,0.00011237095170355381,1,1,0.03249718157321683
1,NIR,1,0,4,0.0017245364500000004,0.0001007436812095008,1,1,0.03249718157321683
1,NIR,1,0,3,0.0016884247333333335,0.00011076644865644829,1,1,0.03249718157321683
1,NIR,1,0,2,0.001780976466666667,0.00013612963960354883,1,1,0.03249718157321683
1,NIR,1,0,1,0.0015327498333333786,0.00010140252342314791,1,1,0.03249718157321683
1,VIS,1,0,19,0.0,0.0,1,1,0.1403731125725121
1,VIS,1,0,18,0.01492257371997122,0.003695333272161389,1,1,0.1403731125725121
1,VIS,1,0,17,0.09550634563077695,0.00780958716166341,1,1,0.1403731125725121
1,VIS,1,0,16,0.13818154572148325,0.007394654743270996,1,1,0.1403731125725121
1,VIS,1,0,15,0.1429126000430777,0.00795901461157802,1,1,0.1403731125725121
1,VIS,1,0,14,0.1233947319423933,0.00624404286183357,1,1,0.1403731125725121
1,VIS,1,0,13,0.10428331150148888,0.004470746522159032,1,1,0.1403731125725121
1,VIS,1,0,12,0.08098311512500443,0.004257495195366974,1,1,0.1403731125725121
1,VIS,1,0,11,0.0635168439379911,0.003984476339999606,1,1,0.1403731125725121
1,VIS,1,0,10,0.045484213116016324,0.0036117225084717776,1,1,0.1403731125725121
1,VIS,1,0,9,0.027974150588069714,0.0021715688105870224,1,1,0.1403731125725121
1,VIS,1,0,8,0.0066500113750372234,0.001014472773080439,1,1,0.1403731125725121
1,VIS,1,0,7,0.0014360724481481486,7.359408591037366e-05,1,1,0.1403731125725121
1,VIS,1,0,6,0.0015648714851851857,8.197920655703146e-05,1,1,0.1403731125725121
1,VIS,1,0,5,0.0016305158444444446,7.396033294237052e-05,1,1,0.1403731125725121
1,VIS,1,0,4,0.001628622440740741,6.373941343702881e-05,1,1,0.1403731125725121
1,VIS,1,0,3,0.0016277601925925923,6.948067127051711e-05,1,1,0.1403731125725121
1,VIS,1,0,2,0.0016547200481481484,8.430556744155858e-05,1,1,0.1403731125725121
1,VIS,1,0,1,0.0014725420407408082,8.133628784729213e-05,1,1,0.1403731125725121
2,NIR,1,0,19,0.0,0.0,1,2,0.01519220114211203
2,NIR,1,0,18,0.020330873606308888,0.00488794102238215,1,2,0.01519220114211203
2,NIR,1,0,17,0.12532411808738605,0.009603381818055071,1,2,0.01519220114211203
2,NIR,1,0,16,0.17096690926855831,0.008753836086785715,1,2,0.01519220114211203
2,NIR,1,0,15,0.16439304836340468,0.009218346569451656,1,2,0.01519220114211203
2,NIR,1,0,14,0.12999461094978607,0.006874455838580192,1,2,0.01519220114211203
2,NIR,1,0,13,0.09917504802886666,0.0044226985382976435,1,2,0.01519220114211203
2,NIR,1,0,12,0.06713193149907301,0.003691124111360246,1,2,0.01519220114211203
2,NIR,1,0,11,0.04335407281026822,0.0030409436177244757,1,2,0.01519220114211203
2,NIR,1,0,10,0.024576022481751225,0.00226151784667205,1,2,0.01519220114211203
2,NIR,1,0,9,0.011546120288218161,0.0010712274995933232,1,2,0.01519220114211203
2,NIR,1,0,8,0.0020918430126269667,0.0004248791066442958,1,2,0.01519220114211203
2,NIR,1,0,7,0.00046347912500000014,9.256427062886507e-05,1,2,0.01519220114211203
2,NIR,1,0,6,0.00060721347,0.00012527064832999274,1,2,0.01519220114211203
2,NIR,1,0,5,0.0006407874933333334,0.0001015445776020843,1,2,0.01519220114211203
2,NIR,1,0,4,0.0005214527733333332,8.731130109949727e-05,1,2,0.01519220114211203
2,NIR,1,0,3,0.0006476107666666664,0.00010460504479349798,1,2,0.01519220114211203
2,NIR,1,0,2,0.0006839633333333332,0.00010167571077757112,1,2,0.01519220114211203
2,NIR,1,0,1,0.12235768554999998,0.0021545392296080795,1,2,0.01519220114211203
2,VIS,1,0,19,0.0,0.0,1,2,0.10760415036480608
2,VIS,1,0,18,0.014588397660931809,0.0036111883962791675,1,2,0.10760415036480608
2,VIS,1,0,17,0.0929803887862843,0.0075592165453766975,1,2,0.10760415036480608
2,VIS,1,0,16,0.13321683429552966,0.007093281550835159,1,2,0.10760415036480608
2,VIS,1,0,15,0.1352273267282268,0.007599507040077907,1,2,0.10760415036480608
2,VIS,1,0,14,0.11286285494757803,0.00577970839464463,1,2,0.10760415036480608
