idSimulation,band,num_of_species,species,height_m,abs_mean,abs_sd,pos,scenetype,albedo
1,NIR,1,0,19,0.0,0.0,1,1,0.0622707653653751
1,NIR,1,0,18,0.01066102372095751,0.0029564806565733266,1,1,0.0622707653653751
1,NIR,1,0,17,0.07320843354018937,0.007360524049590606,1,1,0.0622707653653751
1,NIR,1,0,16,0.11454512306751402,0.00820613787085147,1,1,0.0622707653653751
1,NIR,1,0,15,0.13469342030638665,0.009659872001582888,1,1,0.0622707653653751
1,NIR,1,0,14,0.13078663228337284,0.008777846592180323,1,1,0.0622707653653751
1,NIR,1,0,13,0.12069541909858034,0.007112091523003537,1,1,0.0622707653653751
1,NIR,1,0,12,0.10060104701619686,0.006892647675188815,1,1,0.0622707653653751
1,NIR,1,0,11,0.0889993370254075,0.006239722800821512,1,1,0.0622707653653751
1,NIR,1,0,10,0.07403812515536165,0.006662288960506214,1,1,0.0622707653653751
1,NIR,1,0,9,0.05466802240508543,0.004607138501160476,1,1,0.0622707653653751
1,NIR,1,0,8,0.014750253461822007,0.002473789890734945,1,1,0.0622707653653751
1,NIR,1,0,7,0.0026461314666666666,0.00018787395098593808,1,1,0.0622707653653751
1,NIR,1,0,6,0.0026831660500000005,0.00028623187192722537,1,1,0.0622707653653751
1,NIR,1,0,5,0.003567262933333334,0.00014520862919995857,1,1,0.0622707653653751
1,NIR,1,0,4,0.0029695212833333335,0.00020317976481056788,1,1,0.0622707653653751
1,NIR,1,0,3,0.0031416897166666666,0.0001731721671612536,1,1,0.0622707653653751
1,NIR,1,0,2,0.0030472924500000004,0.00016796321356454713,1,1,0.0622707653653751
1,NIR,1,0,1,0.0014507907833334578,9.277213080703701e-05,1,1,0.0622707653653751
1,VIS,1,0,19,0.0,0.0,1,1,0.15329710055850126
1,VIS,1,0,18,0.008078621066759318,0.0022135273287281444,1,1,0.15329710055850126
1,VIS,1,0,17,0.05722301235013773,0.005754631809968758,1,1,0.15329710055850126
1,VIS,1,0,16,0.0940088650536859,0.006462129307881334,1,1,0.15329710055850126
1,VIS,1,0,15,0.11546856014652886,0.007676980614318073,1,1,0.15329710055850126
1,VIS,1,0,14,0.11713392479818148,0.007101854459015669,1,1,0.15329710055850126
1,VIS,1,0,13,0.11265994207599261,0.005885342670945126,1,1,0.15329710055850126
1,VIS,1,0,12,0.09759244652182965,0.006113048263705561,1,1,0.15329710055850126
1,VIS,1,0,11,0.08710839982223369,0.005629485364204034,1,1,0.15329710055850126
1,VIS,1,0,10,0.07115845793273025,0.006141302350363183,1,1,0.15329710055850126
1,VIS,1,0,9,0.05022970143480227,0.004163621671722166,1,1,0.15329710055850126
1,VIS,1,0,8,0.013002726636092449,0.002121584940904245,1,1,0.15329710055850126
1,VIS,1,0,7,0.002354037492592592,0.00011969763652309362,1,1,0.15329710055850126
1,VIS,1,0,6,0.002412074966666666,0.00018485977110482856,1,1,0.15329710055850126
1,VIS,1,0,5,0.002928205477777777,9.30555264271845e-05,1,1,0.15329710055850126
1,VIS,1,0,4,0.0025558356851851853,0.00012196102860497113,1,1,0.15329710055850126
1,VIS,1,0,3,0.0026768186037037034,0.00010688978147602235,1,1,0.15329710055850126
1,VIS,1,0,2,0.0025827815222222226,0.00010725534113834704,1,1,0.15329710055850126
1,VIS,1,0,1,0.0015931047555557212,8.840827942809576e-05,1,1,0.15329710055850126
2,NIR,1,0,19,0.0,0.0,1,2,0.011247990481826713
2,NIR,1,0,18,0.010403598018480308,0.0029181482008580452,1,2,0.011247990481826713
2,NIR,1,0,17,0.0703032975879304,0.007075169631620558,1,2,0.011247990481826713
2,NIR,1,0,16,0.10732722274715414,0.00796783624686496,1,2,0.011247990481826713
2,NIR,1,0,15,0.12197419548339021,0.009357851530116755,1,2,0.011247990481826713
2,NIR,1,0,14,0.11150885380915583,0.007860706319656295,1,2,0.011247990481826713
2,NIR,1,0,13,0.09330835108496385,0.005916982631340782,1,2,0.011247990481826713
2,NIR,1,0,12,0.06413243893105917,0.004931681915426107,1,2,0.011247990481826713
2,NIR,1,0,11,0.03832342313642938,0.003476767535678533,1,2,0.011247990481826713
2,NIR,1,0,10,0.019235863008351752,0.002823011891621321,1,2,0.011247990481826713
2,NIR,1,0,9,0.007786603750161783,0.001546109023523239,1,2,0.011247990481826713
2,NIR,1,0,8,0.00122880770207483,0.0005341940856069103,1,2,0.011247990481826713
2,NIR,1,0,7,2.5461848666666675e-05,2.8843951032376342e-06,1,2,0.011247990481826713
2,NIR,1,0,6,2.50135285e-05,2.4628458878096903e-06,1,2,0.011247990481826713
2,NIR,1,0,5,2.521663266666667e-05,2.331382273099284e-06,1,2,0.011247990481826713
2,NIR,1,0,4,2.406728116666667e-05,2.8450523272028483e-06,1,2,0.011247990481826713
2,NIR,1,0,3,2.3742298333333342e-05,2.0773206910150414e-06,1,2,0.011247990481826713
2,NIR,1,0,2,2.3990280166666667e-05,2.5694054084320042e-06,1,2,0.011247990481826713
2,NIR,1,0,1,0.3430714029833333,0.005525189256952881,1,2,0.011247990481826713
2,VIS,1,0,19,0.0,0.0,1,2,0.07459720685640661
2,VIS,1,0,18,0.007573493189121333,0.0020973935301296155,1,2,0.07459720685640661
2,VIS,1,0,17,0.05271394589507706,0.005304695735606576,1,2,0.07459720685640661
2,VIS,1,0,16,0.08402887543750466,0.005938470431962579,1,2,0.07459720685640661
2,VIS,1,0,15,0.09904375052692926,0.0070464267380951386,1,2,0.07459720685640661
2,VIS,1,0,14,0.09391447233404708,0.005952890495875158,1,2,0.07459720685640661
